platform,operation,i,tx_hash,gas_used,latency_ms,success,error
Kaleido-EVM,IssueAnchor,55,0xf5a1edee66b6949286a3f3cfc3b48570674bf951f8bb510f1f5bcdcae642744a,155740,4918,true,
Kaleido-EVM,IssueAnchor,56,0x868379bc327eee194697197d9d8d1c3688215f26e96694d0bf4c80776aef1b4c,155740,4912,true,
Kaleido-EVM,Attest,56,0xd5e1db02e6a6b6252b868cff623422981a348f2f48395d62f175e00837885fb6,34307,4914,true,
Kaleido-EVM,IssueAnchor,57,0x4f80300e98cd711c0b97a038f51276783beca2a21cb779811f2d15e04667018a,155740,4919,true,
Kaleido-EVM,IssueAnchor,58,0xa808d1015217e61ecdf95199b9b946aef1a8ad596b9c5fc8d10523180c1538e8,155740,4919,true,
Kaleido-EVM,Attest,58,0xbd777ceea699479ce8562db7576c392babcfcf5c89bb4c59f4df41e70b236fc2,34307,4915,true,
Kaleido-EVM,IssueAnchor,59,0x7c9974b9d3586c9298681279749650f29d3bc9d8f943fa7b03e0fd486ba15003,155728,4918,true,
Kaleido-EVM,IssueAnchor,60,0xf6115315f380d5fe72b5d452e8cbbfebe2d24ef90bcf7b4473b79d2c5b8b1846,155728,4912,true,
Kaleido-EVM,Attest,60,0x787aba1ff89b235a17860d381dcc99d6e317a1a67ecd2d24228d8df88e624951,34307,5643,true,
Kaleido-EVM,Revoke,60,0xf12f82a0c31586f907bcdbd0d245ee08192c74d7910560478f31a9c26958d92e,63469,4924,true,
Kaleido-EVM,IssueAnchor,61,0xb24e9650eb7e285946717b1c816cd5eac2c7cab1f2383a56cc9a3f9b24d7d54f,155740,4921,true,
Kaleido-EVM,IssueAnchor,62,0xf9d5b28a81399fa222e82a6da445c9401419c0f0612b599cfac3c8b475cebaf7,155740,4916,true,
Kaleido-EVM,Attest,62,0xf16042ada79247d61389ee87abf5eb268bb821a70c2ce6a40a899c39dd7963ce,34307,4914,true,
Kaleido-EVM,IssueAnchor,63,0x81ed818f11b4f0659ef7755f7ea87e2c25ddaadd3d923f44435cb4fb9fe2c327,155740,4922,true,
Kaleido-EVM,IssueAnchor,64,0xe52b1684ca73d64572cd66bfd35a2adc5433fb6f7d73450cfdf110e589ac81b5,155740,4922,true,
Kaleido-EVM,Attest,64,0xcb9f8322b0cfde2c329c1101510f3c667df3217296d88974b47c10b6f2e073fc,34307,4968,true,
Kaleido-EVM,IssueAnchor,65,0x5c3e0e27c285a9c375abcac6d97b5f59b809631d558f620cad8d9758a57ef185,155728,5041,true,
Kaleido-EVM,IssueAnchor,66,0xfe9059d315657888a5f398e1768b1314d4e935bc3481d321db10e7e31e14f202,155740,5008,true,
Kaleido-EVM,Attest,66,0x4038e234817bb5526db3f9113d32fb80cc32bfb6eeb8be05df0e8f7d7de3cbca,34307,4983,true,
Kaleido-EVM,IssueAnchor,67,0xd8b88c9a11b96f682c667270f61bfbfd846ac680334bd5966bf58b9ca3e71d95,155740,4952,true,
Kaleido-EVM,IssueAnchor,68,0xc98d2b9e0ac84b877f682b4b15622a3a4273cef42138858c9d5b3685cd248608,155728,4931,true,
Kaleido-EVM,Attest,68,0x22bec8a8e6a64b72cd9fd6e1e500362373a82c70eb63f9854792b94146134fca,34295,5646,true,
Kaleido-EVM,IssueAnchor,69,0x520c833ef4de446b0212af541c023c2153b91e525dc35d2848885d5c06f8a555,155740,4939,true,
Kaleido-EVM,IssueAnchor,70,0xa83dbe1c0761d27b9adb1af8a9a9e36a384204e9b681bcb64163d670c97a8457,155740,4919,true,
Kaleido-EVM,Attest,70,0x46db480339194fc3abba0ec45747c99a273ee067799c9d8d7b54fd7e575c6380,34307,4920,true,
Kaleido-EVM,Revoke,70,0x01e3943bfb4b37422d8191c1b18d5a11ed5c1a037e81830d8a05863201f093fd,63469,4924,true,
Kaleido-EVM,IssueAnchor,71,0xbfbed1d2883a4a9651573251fa9ef201344e59c42904c473d161db87804dc58f,155728,4922,true,
Kaleido-EVM,IssueAnchor,72,0x7a63886d9841dad9ebe38e869b9585ca12f13dc372fe1b22d7113fa2ef0f058f,155716,4919,true,
Kaleido-EVM,Attest,72,0x0318cd4e4eb0e03ea9cf00b0ee2202fbc2fba44b21caac41a20b0054f6e671be,34295,4934,true,
Kaleido-EVM,IssueAnchor,73,0xf541b9f64599aba05aa087ae1849af4fa19efc2ab6ab9434cf42233940353595,155740,4922,true,
Kaleido-EVM,IssueAnchor,74,0x1a4fb06a5b0d953b01580043789a4aa55354fbffebc03c93ecb3ab0da6dbb6a5,155740,4921,true,
Kaleido-EVM,Attest,74,0x892766f10da77d9170698b637c915b7518e01b1fe7a724ad4e41d246e97e7445,34307,5640,true,
Kaleido-EVM,IssueAnchor,75,0xe6d4f14ca24df8862640089dee9ca2c28b51774cd6fca294914845f5f047fdbc,155740,4926,true,
Kaleido-EVM,IssueAnchor,76,0xab8c6f44c39601867265b5834551ca8cf82639f234656567a1de505e29898c8f,155740,4958,true,
Kaleido-EVM,Attest,76,0x7fe0c9251379c34024e1f366cf1d80f6217e62ff606d3549a2febf515e463ac5,34307,4933,true,
Kaleido-EVM,IssueAnchor,77,0x59c46e5ef67dae413400ff4d7f9b4b75398d911c38ed8a8b2dcb6cc835b3afbb,155740,4921,true,
Kaleido-EVM,IssueAnchor,78,0x96004918350defd5f742abd86b011084c371cf6a4873a6437e60c59ddbd6e0ca,155740,4939,true,
Kaleido-EVM,Attest,78,0x66c08ddce9c10bebb286920f370643ba1b56a996ed75f03a9dcc9e87c48cc113,34307,4948,true,
Kaleido-EVM,IssueAnchor,79,0xe88391d020eee0cd8895a5883aadf832230cfdb16c39b68f250c35f467c36729,155716,4941,true,
